<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AUDCHF,D,20190101,000000,0.6923400,0.6937100,0.6877700,0.6909200
AUDCHF,D,20190102,000000,0.6921800,0.6937200,0.6873000,0.6930500
AUDCHF,D,20190103,000000,0.6931300,0.6945700,0.6630100,0.6916700
AUDCHF,D,20190104,000000,0.6916700,0.7025700,0.6887000,0.7018600
AUDCHF,D,20190105,000000,0.7018500,0.7025700,0.6995000,0.7017400
AUDCHF,D,20190106,000000,0.7013000,0.7037900,0.6995000,0.7014000
AUDCHF,D,20190107,000000,0.7024000,0.7031400,0.6974000,0.6998500
AUDCHF,D,20190108,000000,0.6998700,0.7018200,0.6974000,0.7005600
AUDCHF,D,20190109,000000,0.7006000,0.7034600,0.6978000,0.6989200
AUDCHF,D,20190110,000000,0.6989800,0.7075500,0.6950000,0.7073600
AUDCHF,D,20190111,000000,0.7073600,0.7107400,0.7043300,0.7085800
AUDCHF,D,20190112,000000,0.7086800,0.7100600,0.7079000,0.7091400
AUDCHF,D,20190113,000000,0.7064000,0.7103500,0.7064000,0.7098000
AUDCHF,D,20190114,000000,0.7101100,0.7101100,0.7048000,0.7061800
AUDCHF,D,20190115,000000,0.7061300,0.7116100,0.7046000,0.7108000
AUDCHF,D,20190116,000000,0.7109100,0.7129800,0.7072000,0.7103200
AUDCHF,D,20190117,000000,0.7104100,0.7174200,0.7083000,0.7150700
AUDCHF,D,20190118,000000,0.7150600,0.7171500,0.7121000,0.7137000
AUDCHF,D,20190119,000000,0.7137000,0.7140700,0.7119300,0.7132500
AUDCHF,D,20190120,000000,0.7122000,0.7135900,0.7114000,0.7120000
AUDCHF,D,20190121,000000,0.7125200,0.7145800,0.7108000,0.7138100
AUDCHF,D,20190122,000000,0.7138000,0.7142400,0.7087000,0.7101200
AUDCHF,D,20190123,000000,0.7101300,0.7133800,0.7085000,0.7105600
AUDCHF,D,20190124,000000,0.7105200,0.7126300,0.7042000,0.7066100
AUDCHF,D,20190125,000000,0.7065300,0.7133300,0.7038000,0.7128500
AUDCHF,D,20190126,000000,0.7128500,0.7132400,0.7118000,0.7127300
AUDCHF,D,20190127,000000,0.7120000,0.7123200,0.7110000,0.7117000
AUDCHF,D,20190128,000000,0.7113400,0.7148000,0.7089000,0.7109200
AUDCHF,D,20190129,000000,0.7108600,0.7123800,0.7074000,0.7112400
AUDCHF,D,20190130,000000,0.7112800,0.7230700,0.7101000,0.7207100
AUDCHF,D,20190131,000000,0.7206900,0.7241700,0.7188300,0.7228800
AUDCHF,D,20190201,000000,0.7228700,0.7237000,0.7189000,0.7216500
AUDCHF,D,20190202,000000,0.7217100,0.7217100,0.7203600,0.7214500
AUDCHF,D,20190203,000000,0.7196000,0.7214400,0.7196000,0.7207000
AUDCHF,D,20190204,000000,0.7214000,0.7221000,0.7187000,0.7211100
AUDCHF,D,20190205,000000,0.7211100,0.7262200,0.7171000,0.7234300
AUDCHF,D,20190206,000000,0.7234100,0.7244800,0.7118000,0.7131800
AUDCHF,D,20190207,000000,0.7131900,0.7135000,0.7084000,0.7119600
AUDCHF,D,20190208,000000,0.7119800,0.7121200,0.7070000,0.7086100
AUDCHF,D,20190209,000000,0.7087200,0.7095100,0.7070300,0.7095100
AUDCHF,D,20190210,000000,0.7067000,0.7086000,0.7067000,0.7085000
AUDCHF,D,20190211,000000,0.7086700,0.7158000,0.7075000,0.7094100
AUDCHF,D,20190212,000000,0.7093700,0.7157500,0.7077000,0.7140000
AUDCHF,D,20190213,000000,0.7140200,0.7175400,0.7127400,0.7152800
AUDCHF,D,20190214,000000,0.7152800,0.7190300,0.7122500,0.7136300
AUDCHF,D,20190215,000000,0.7137100,0.7183800,0.7114000,0.7176200
AUDCHF,D,20190216,000000,0.7176000,0.7178300,0.7165000,0.7173400
AUDCHF,D,20190217,000000,0.7163000,0.7177700,0.7158000,0.7168000
AUDCHF,D,20190218,000000,0.7160100,0.7182500,0.7145000,0.7161800
AUDCHF,D,20190219,000000,0.7161800,0.7178700,0.7130000,0.7173500
AUDCHF,D,20190220,000000,0.7173100,0.7183300,0.7144000,0.7167500
AUDCHF,D,20190221,000000,0.7168000,0.7209800,0.7075000,0.7107200
AUDCHF,D,20190222,000000,0.7107200,0.7142200,0.7082100,0.7133400
AUDCHF,D,20190223,000000,0.7133700,0.7135800,0.7108000,0.7126000
AUDCHF,D,20190224,000000,0.7121000,0.7135000,0.7109000,0.7132000
AUDCHF,D,20190225,000000,0.7126900,0.7185300,0.7117200,0.7172400
AUDCHF,D,20190226,000000,0.7172400,0.7188200,0.7133000,0.7186900
AUDCHF,D,20190227,000000,0.7186900,0.7196900,0.7114000,0.7146200
AUDCHF,D,20190228,000000,0.7146600,0.7171700,0.7066000,0.7081500
AUDCHF,D,20190301,000000,0.7080900,0.7108800,0.7059000,0.7068700
AUDCHF,D,20190302,000000,0.7069400,0.7074200,0.7060000,0.7066600
AUDCHF,D,20190303,000000,0.7062000,0.7097000,0.7055000,0.7095000
AUDCHF,D,20190304,000000,0.7096900,0.7102900,0.7065000,0.7080600
AUDCHF,D,20190305,000000,0.7080700,0.7120300,0.7055000,0.7116300
AUDCHF,D,20190306,000000,0.7115900,0.7124200,0.7040000,0.7060700
AUDCHF,D,20190307,000000,0.7061300,0.7108300,0.7044000,0.7092600
AUDCHF,D,20190308,000000,0.7092500,0.7105800,0.7061000,0.7101200
AUDCHF,D,20190309,000000,0.7101200,0.7103400,0.7090100,0.7102200
AUDCHF,D,20190310,000000,0.7081000,0.7099100,0.7070000,0.7085000
AUDCHF,D,20190311,000000,0.7080000,0.7152200,0.7074000,0.7143600
AUDCHF,D,20190312,000000,0.7143300,0.7150100,0.7114000,0.7135800
AUDCHF,D,20190313,000000,0.7135400,0.7136100,0.7091000,0.7118000
AUDCHF,D,20190314,000000,0.7120500,0.7121300,0.7066000,0.7090100
AUDCHF,D,20190315,000000,0.7090100,0.7115100,0.7081000,0.7094000
AUDCHF,D,20190316,000000,0.7094300,0.7104000,0.7094300,0.7099700
AUDCHF,D,20190317,000000,0.7094000,0.7103000,0.7085000,0.7101000
AUDCHF,D,20190318,000000,0.7099800,0.7130100,0.7086000,0.7110500
AUDCHF,D,20190319,000000,0.7111100,0.7117500,0.7072000,0.7080600
AUDCHF,D,20190320,000000,0.7080600,0.7093300,0.7048000,0.7061800
AUDCHF,D,20190321,000000,0.7061600,0.7101600,0.7035000,0.7062400
AUDCHF,D,20190322,000000,0.7051100,0.7072700,0.7024000,0.7030800
AUDCHF,D,20190323,000000,0.7029600,0.7034400,0.7027000,0.7029500
AUDCHF,D,20190324,000000,0.7022200,0.7053000,0.7022200,0.7032000
AUDCHF,D,20190325,000000,0.7037900,0.7060200,0.7016000,0.7056800
AUDCHF,D,20190326,000000,0.7058300,0.7105100,0.7044000,0.7093900
AUDCHF,D,20190327,000000,0.7093600,0.7098700,0.7023000,0.7048100
AUDCHF,D,20190328,000000,0.7047100,0.7072100,0.7029000,0.7036000
AUDCHF,D,20190329,000000,0.7042100,0.7079400,0.7024000,0.7058500
AUDCHF,D,20190330,000000,0.7055500,0.7059500,0.7039000,0.7049300
AUDCHF,D,20190331,000000,0.7062000,0.7093600,0.7062000,0.7079000
AUDCHF,D,20190401,000000,0.7078800,0.7110900,0.7063000,0.7099700
AUDCHF,D,20190402,000000,0.7099500,0.7119300,0.7036000,0.7055400
AUDCHF,D,20190403,000000,0.7056000,0.7108300,0.7034000,0.7098500
AUDCHF,D,20190404,000000,0.7098200,0.7120500,0.7076500,0.7108600
AUDCHF,D,20190405,000000,0.7110800,0.7130600,0.7087000,0.7099800
AUDCHF,D,20190406,000000,0.7100800,0.7105000,0.7098900,0.7105000
AUDCHF,D,20190407,000000,0.7082000,0.7105000,0.7082000,0.7101000
AUDCHF,D,20190408,000000,0.7100200,0.7124000,0.7071000,0.7117000
AUDCHF,D,20190409,000000,0.7118100,0.7146000,0.7103000,0.7116500
AUDCHF,D,20190410,000000,0.7120300,0.7191000,0.7105000,0.7187700
AUDCHF,D,20190411,000000,0.7186500,0.7188800,0.7134000,0.7136400
AUDCHF,D,20190412,000000,0.7136400,0.7197900,0.7130000,0.7186200
AUDCHF,D,20190413,000000,0.7187500,0.7187500,0.7173200,0.7181400
AUDCHF,D,20190414,000000,0.7185800,0.7191000,0.7170000,0.7190000
AUDCHF,D,20190415,000000,0.7180500,0.7209500,0.7168000,0.7200900
AUDCHF,D,20190416,000000,0.7200400,0.7231000,0.7160000,0.7229100
AUDCHF,D,20190417,000000,0.7228600,0.7264500,0.7203000,0.7252000
AUDCHF,D,20190418,000000,0.7254200,0.7273800,0.7225000,0.7256300
AUDCHF,D,20190419,000000,0.7260300,0.7261500,0.7236000,0.7243200
AUDCHF,D,20190420,000000,0.7249300,0.7255900,0.7249300,0.7254300
AUDCHF,D,20190421,000000,0.7250900,0.7254400,0.7235000,0.7246000
AUDCHF,D,20190422,000000,0.7246700,0.7257500,0.7228900,0.7236800
AUDCHF,D,20190423,000000,0.7241500,0.7261000,0.7225000,0.7242100
AUDCHF,D,20190424,000000,0.7243200,0.7245500,0.7139000,0.7152100
AUDCHF,D,20190425,000000,0.7154700,0.7165500,0.7132000,0.7153700
AUDCHF,D,20190426,000000,0.7156800,0.7196500,0.7142000,0.7181000
AUDCHF,D,20190427,000000,0.7174100,0.7182500,0.7173600,0.7173600
AUDCHF,D,20190428,000000,0.7149000,0.7181200,0.7146000,0.7163000
AUDCHF,D,20190429,000000,0.7169100,0.7202900,0.7157000,0.7192600
AUDCHF,D,20190430,000000,0.7193200,0.7204700,0.7160000,0.7179700
AUDCHF,D,20190501,000000,0.7184100,0.7192300,0.7116700,0.7135700
