<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
24/09/18;00:00;65.6000000;66.5000000;65.2000000;65.6000000;6500
25/09/18;00:00;66.8000000;67.0000000;66.2000000;66.5000000;13900
26/09/18;00:00;67.9000000;68.0000000;65.2000000;66.4000000;32500
27/09/18;00:00;66.4000000;66.5000000;64.1000000;65.1000000;21200
28/09/18;00:00;64.4000000;64.6000000;63.2000000;64.4000000;16700
01/10/18;00:00;63.9000000;66.0000000;62.5000000;63.6000000;26300
02/10/18;00:00;64.6000000;64.6000000;63.5000000;63.7000000;8800
03/10/18;00:00;63.1000000;64.8000000;63.0000000;64.1000000;12600
04/10/18;00:00;64.1000000;65.9000000;64.1000000;64.4000000;32400
05/10/18;00:00;64.0000000;65.0000000;63.2000000;64.1000000;25400
08/10/18;00:00;64.1000000;64.8000000;60.8000000;62.9000000;36700
09/10/18;00:00;62.9000000;65.5000000;62.6000000;63.4000000;19100
10/10/18;00:00;63.4000000;63.9000000;62.7000000;63.1000000;5700
11/10/18;00:00;63.0000000;63.0000000;58.8000000;60.0000000;105900
12/10/18;00:00;60.6000000;62.8000000;60.6000000;61.7000000;12900
15/10/18;00:00;62.5000000;62.8000000;58.4000000;60.0000000;110700
16/10/18;00:00;59.9000000;59.9000000;58.0000000;58.6000000;236400
17/10/18;00:00;58.2000000;59.1000000;58.0000000;58.2000000;134000
18/10/18;00:00;58.4000000;63.3000000;58.4000000;60.5000000;776100
19/10/18;00:00;61.0000000;62.9000000;58.1000000;59.5000000;293500
22/10/18;00:00;60.2000000;60.4000000;58.9000000;59.4000000;171100
23/10/18;00:00;59.0000000;59.1000000;54.9000000;56.1000000;404200
24/10/18;00:00;56.9000000;57.6000000;56.6000000;56.9000000;22600
25/10/18;00:00;56.2000000;59.5000000;56.1000000;57.8000000;65900
26/10/18;00:00;57.3000000;58.0000000;56.7000000;57.1000000;31200
29/10/18;00:00;56.8000000;57.6000000;56.6000000;57.6000000;7200
30/10/18;00:00;57.7000000;58.5000000;56.0000000;56.5000000;17200
31/10/18;00:00;57.0000000;57.8000000;57.0000000;57.1000000;3400
01/11/18;00:00;56.9000000;57.6000000;56.2000000;57.5000000;18400
02/11/18;00:00;57.7000000;58.2000000;56.9000000;58.0000000;12300
06/11/18;00:00;57.4000000;58.0000000;57.1000000;57.4000000;12000
07/11/18;00:00;58.0000000;59.2000000;57.7000000;58.3000000;24400
08/11/18;00:00;58.2000000;59.3000000;58.0000000;58.0000000;19800
09/11/18;00:00;58.0000000;58.4000000;57.6000000;57.8000000;44000
12/11/18;00:00;57.8000000;58.2000000;57.3000000;57.9000000;13100
13/11/18;00:00;58.2000000;58.2000000;57.4000000;57.9000000;11000
14/11/18;00:00;57.4000000;58.0000000;56.3000000;58.0000000;21500
