id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
39;25000;37482.64214674423;4.0;2;1;2;2
41;27136;40473.42717609883;4.0;3;5;3;4
47;35000;34903.358979170574;6.0;3;3;3;4
53;23000;37482.64214674423;4.0;2;4;2;3
72;25479;34903.358979170574;4.0;2;4;3;3
138;34733;42837.77777777778;4.0;2;4;2;3
178;49808;73753.69822485208;4.0;2;3;3;3
181;60000;35200.0;10.0;2;3;3;5
190;45000;42576.54700661428;6.0;3;2;1;3
277;49403;62134.87883940907;4.0;2;2;3;3
290;56601;70899.10958448754;4.0;3;3;3;3
315;40735;58706.75800173011;4.0;3;3;3;3
347;22000;33871.48250178553;4.0;2;1;2;2
371;45000;33871.48250178553;8.0;2;3;2;4
392;38582;49571.71695955565;4.0;2;4;1;3
446;28000;27472.18934911243;6.0;2;3;2;3
467;11227;16953.02305350152;4.0;1;1;1;1
472;37000;44261.6;4.0;3;2;3;3
490;26240;33547.2;4.0;3;5;1;3
513;35000;15488.555628124856;10.0;2;3;3;5
551;35000;33527.387935942184;6.0;3;1;2;3
553;34216;45151.6633010947;4.0;3;2;3;3
594;46840;63965.942891136234;4.0;3;3;3;3
609;10097;16124.967160818163;4.0;1;1;1;1
667;20000;34595.70623870762;4.0;3;5;3;4
701;100000;47128.284023668646;10.0;3;1;3;5
708;30000;53283.759666864964;4.0;3;3;1;3
713;30207;36977.407847800234;4.0;2;3;3;3
730;40000;36977.407847800234;6.0;3;3;3;4
764;27722;36851.85185185185;4.0;3;5;3;4
771;100000;64779.052734375;10.0;3;5;3;5
782;27073;32431.09809027778;4.0;3;5;1;3
787;30000;32431.09809027778;6.0;2;3;3;4
789;35434;44125.31149875401;4.0;3;5;1;3
832;39308;47133.04826817558;4.0;2;4;3;3
848;30000;38848.77126654064;4.0;2;1;1;2
859;57878;80778.94518917239;4.0;3;2;3;3
933;25000;46730.19465821639;2.0;3;5;3;3
946;22438;28046.875;4.0;2;2;2;2
973;25800;37399.327181853136;4.0;3;2;1;2
1015;40000;38413.22314049587;6.0;2;3;3;4
1019;65000;40523.373220368594;10.0;2;3;3;5
1039;30000;46140.29096373198;4.0;3;3;3;3
1045;28000;35068.05293005671;4.0;3;5;1;3
1064;50000;41684.97587414899;8.0;3;2;3;4
1131;20000;37164.3897996357;2.0;2;4;3;3
1166;35000;30655.183935313577;6.0;2;3;1;3
1169;40000;46683.403688280785;6.0;3;3;3;4
1189;44485;67176.6250590851;4.0;2;4;3;3
1191;35000;37164.3897996357;6.0;3;4;3;4
1199;14861;22178.389428119215;4.0;1;1;1;1
1217;80000;44531.89300411522;10.0;3;3;3;5
1219;40000;78706.99432892249;2.0;2;1;3;2
1233;45000;43174.60317460318;6.0;3;2;3;4
1271;35330;46281.80803571428;4.0;2;4;1;3
1285;140000;86123.10444444446;10.0;2;3;3;5
1288;100000;63186.25776927806;10.0;2;3;1;4
1296;40000;86123.10444444446;2.0;2;1;1;1
1322;50000;17158.952477284125;10.0;1;1;1;3
1347;13000;17158.952477284125;4.0;1;1;1;1
1361;47000;39049.5867768595;8.0;3;3;3;5
1362;40000;43823.265306122456;6.0;2;3;2;3
1381;28304;36098.298676748585;4.0;1;3;3;3
1393;20000;17158.952477284125;8.0;1;1;1;3
1422;45000;36485.96453287198;8.0;3;3;1;4
1439;38871;52232.828595041334;4.0;2;4;3;3
1459;31544;41059.24008599838;4.0;2;2;3;3
